 time            v(voutp)        v(voutn)       
 7.05000000e-10  1.24428163e+00  1.13496600e+00 
 7.07000000e-10  1.24524621e+00  1.13400910e+00 
 7.09000000e-10  1.24618277e+00  1.13308017e+00 
 7.11000000e-10  1.24709295e+00  1.13217769e+00 
 7.13000000e-10  1.24797786e+00  1.13130076e+00 
 7.15000000e-10  1.24883809e+00  1.13044888e+00 
 7.17000000e-10  1.24967399e+00  1.12962180e+00 
 7.19000000e-10  1.25048583e+00  1.12881922e+00 
 7.21000000e-10  1.25127401e+00  1.12804061e+00 
 7.23000000e-10  1.25203917e+00  1.12728518e+00 
 7.25000000e-10  1.25278223e+00  1.12655186e+00 
 7.27000000e-10  1.25350429e+00  1.12583942e+00 
 7.29000000e-10  1.25420652e+00  1.12514663e+00 
 7.31000000e-10  1.25489003e+00  1.12447239e+00 
 7.33000000e-10  1.25555573e+00  1.12381583e+00 
 7.35000000e-10  1.25620433e+00  1.12317636e+00 
 7.37000000e-10  1.25683627e+00  1.12255361e+00 
 7.39000000e-10  1.25745186e+00  1.12194731e+00 
 7.41000000e-10  1.25805132e+00  1.12135727e+00 
 7.43000000e-10  1.25863491e+00  1.12078318e+00 
 7.45000000e-10  1.25920297e+00  1.12022467e+00 
 7.47000000e-10  1.25975594e+00  1.11968120e+00 
 7.49000000e-10  1.26029436e+00  1.11915222e+00 
 7.51000000e-10  1.26081878e+00  1.11863713e+00 
 7.53000000e-10  1.26132974e+00  1.11813542e+00 
 7.55000000e-10  1.26182768e+00  1.11764670e+00 
 7.57000000e-10  1.26231291e+00  1.11717070e+00 
 7.59000000e-10  1.26278565e+00  1.11670727e+00 
 7.61000000e-10  1.26324601e+00  1.11625633e+00 
 7.63000000e-10  1.26369407e+00  1.11581781e+00 
 7.65000000e-10  1.26412990e+00  1.11539161e+00 
 7.67000000e-10  1.26455365e+00  1.11497756e+00 
 7.69000000e-10  1.26496551e+00  1.11457541e+00 
 7.71000000e-10  1.26536575e+00  1.11418484e+00 
 7.73000000e-10  1.26575467e+00  1.11380551e+00 
 7.75000000e-10  1.26613260e+00  1.11343705e+00 
 7.77000000e-10  1.26649988e+00  1.11307910e+00 
 7.79000000e-10  1.26685683e+00  1.11273132e+00 
 7.81000000e-10  1.26720377e+00  1.11239336e+00 
 7.83000000e-10  1.26754102e+00  1.11206487e+00 
 7.85000000e-10  1.26786894e+00  1.11174548e+00 
 7.87000000e-10  1.26818788e+00  1.11143480e+00 
 7.89000000e-10  1.26849824e+00  1.11113240e+00 
 7.91000000e-10  1.26880044e+00  1.11083786e+00 
 7.93000000e-10  1.26909488e+00  1.11055080e+00 
 7.95000000e-10  1.26938194e+00  1.11027085e+00 
 7.97000000e-10  1.26966193e+00  1.10999776e+00 
 7.98500000e-10  1.26986743e+00  1.10979731e+00 
 8.00000000e-10  1.27006919e+00  1.10960054e+00 
 8.00200000e-10  1.27009577e+00  1.10957461e+00 
 8.00600000e-10  1.27014882e+00  1.10952289e+00 
 8.01400000e-10  1.27025412e+00  1.10942022e+00 
 8.03000000e-10  1.27046161e+00  1.10921796e+00 
 8.05000000e-10  1.27071517e+00  1.10897090e+00 
 8.07000000e-10  1.27096232e+00  1.10873023e+00 
 8.09000000e-10  1.27120313e+00  1.10849587e+00 
